IR F19 64162982
2020-02-08 15:16:52,641 - FRONTIER - INFO - Found save file frontier.shelve, deleting it.
2020-02-08 15:16:52,688 - Worker-0 - INFO - Downloaded https://www.stat.uci.edu, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:52,770 - Worker-0 - INFO - Downloaded http://www.ics.uci.edu/ugrad/courses/listing.php, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:52,822 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/ugrad/courses, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:52,866 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/ugrad, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:52,977 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/search/index.php, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:53,038 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/faculty/faculty_dept, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:53,266 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/faculty, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:53,496 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/facilities/index.php, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:53,554 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/facilities, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:53,605 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/about/about_safety.php, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:53,663 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/involved, status <200>, using cache ('styx.ics.uci.edu', 9009).
2020-02-08 15:16:53,719 - Worker-0 - INFO - Downloaded https://www.ics.uci.edu/community/events/competition, status <200>, using cache ('styx.ics.uci.edu', 9009).
